LEGISLATURA,DEPARTAMENTO,ELECTORES HABILES,VOTOS INVALIDOS,VOTOS_ORG_VALLA,VOTOS_ORG_NOVALLA,AUSENTISMO,Representados,NoRepresentados,%Representados,%NoRepresentados
2020,AMAZONAS,297304,41428,122860,21178,111838,122860,174444,41.32,58.68
2020,ANCASH,873067,174039,334135,128471,236422,334135,538932,38.27,61.73
2020,APURIMAC,308201,48715,127255,37131,95100,127255,180946,41.29,58.71
2020,AREQUIPA,1126167,127008,525462,253010,220687,525462,600705,46.66,53.34
2020,AYACUCHO,461288,60422,174184,75777,150905,174184,287104,37.76,62.24
2020,CAJAMARCA,1079203,168167,410626,135848,364562,410626,668577,38.05,61.95
2020,CALLAO,811916,130322,325132,199176,157286,325132,486784,40.05,59.95
2020,CUSCO,1001277,139804,347110,256296,258067,347110,654167,34.67,65.33
2020,HUANCAVELICA,293566,39055,90983,60106,103422,90983,202583,30.99,69.01
2020,HUANUCO,572697,83163,189875,101764,197895,189875,382822,33.15,66.85
2020,ICA,635906,116493,263370,144134,111909,263370,372536,41.42,58.58
2020,JUNIN,959351,136031,350013,223371,249936,350013,609338,36.48,63.52
2020,LA LIBERTAD,1399522,249026,547313,245104,358079,547313,852209,39.11,60.89
2020,LAMBAYEQUE,957821,159715,369114,212975,216017,369114,588707,38.54,61.46
2020,LIMA Y RESIDENTES,8421082,911424,3826686,1547232,2135670,3826686,4594326,45.44,54.56
2020,LIMA PROVINCIAS,752289,133358,304727,159476,154728,304727,447562,40.51,59.49
2020,LORETO,681039,110383,219368,83366,267922,219368,461671,32.21,67.79
2020,MADRE DE DIOS,113266,20103,35932,25207,32024,35932,77334,31.72,68.28
2020,MOQUEGUA,145682,18346,67348,30504,29484,67348,78334,46.23,53.77
2020,PASCO,195710,27091,66032,37041,65546,66032,129678,33.74,66.26
2020,PIURA,1365687,265095,512706,246335,341551,512706,852981,37.54,62.46
2020,PUNO,905547,146397,391296,188340,179514,391296,514251,43.21,56.79
2020,SAN MARTIN,621551,131411,205430,98156,186554,205430,416121,33.05,66.95
2020,TACNA,277151,40804,121089,62933,52325,121089,156062,43.69,56.31
2020,TUMBES,164881,39073,58983,31660,35165,58983,105898,35.77,64.23
2020,UCAYALI,378213,53766,175744,31015,117688,175744,202469,46.47,53.53
2020,LIMA,9985287,1175104,4456545,1905884,2447684,4456545,5528672,44.63,55.37
